Match ID,0-10 Team 1 Runs,0-10 Team 1 Wickets,10-20 Team 1 Runs,10-20 Team 1 Wickets,20-30 Team 1 Runs,20-30 Team 1 Wickets,30-40 Team 1 Runs,30-40 Team 1 Wickets,40-50 Team 1 Runs,40-50 Team 1 Wickets,0-10 Team 2 Runs,0-10 Team 2 Wickets,10-20 Team 2 Runs,10-20 Team 2 Wickets,20-30 Team 2 Runs,20-30 Team 2 Wickets,30-40 Team 2 Runs,30-40 Team 2 Wickets,40-50 Team 2 Runs,40-50 Team 2 Wickets,0-10 Team 1 RunRate,0-10 Team 1 Avg,10-20 Team 1 RunRate,10-20 Team 1 Avg,20-30 Team 1 RunRate,20-30 Team 1 Avg,30-40 Team 1 RunRate,30-40 Team 1 Avg,40-50 Team 1 RunRate,40-50 Team 1 Avg,0-10 Team 2 RunRate,0-10 Team 2 Avg,10-20 Team 2 RunRate,10-20 Team 2 Avg,20-30 Team 2 RunRate,20-30 Team 2 Avg,30-40 Team 2 RunRate,30-40 Team 2 Avg,40-50 Team 2 RunRate,40-50 Team 2 Avg,Team 1 Total Runs,Team 1 Total Wickets,Team 1 Match RunRate,Team 1 Match Average,Team 2 Total Runs,Team 2 Total Wickets,Team 2 Match RunRate,Team 2 Match Average
64830,19,4,45,2,17,2,15,2,0,0,50,1,36,0,7,1,0,0,0,0,1.9,4.75,4.5,22.5,1.7,8.5,1.5,7.5,0.0,0.0,5.0,50.0,3.6,36.0,0.7,7.0,0.0,0.0,0.0,0.0,96,10,1.92,9.6,93,2,1.86,46.5
64831,16,0,21,3,30,1,41,3,19,3,63,1,75,0,1,0,0,0,0,0,1.6,16.0,2.1,7.0,3.0,30.0,4.1,13.67,1.9,6.33,6.3,63.0,7.5,75.0,0.1,1.0,0.0,0.0,0.0,0.0,127,10,2.54,12.7,139,1,2.78,139.0
64832,45,0,36,1,33,3,51,0,76,3,14,1,24,4,34,0,38,3,16,2,4.5,45.0,3.6,36.0,3.3,11.0,5.1,51.0,7.6,25.33,1.4,14.0,2.4,6.0,3.4,34.0,3.8,12.67,1.6,8.0,241,7,4.82,34.43,126,10,2.52,12.6
64833,52,1,42,0,58,0,53,2,102,0,28,3,40,3,25,2,41,1,19,1,5.2,52.0,4.2,42.0,5.8,58.0,5.3,26.5,10.2,102.0,2.8,9.33,4.0,13.33,2.5,12.5,4.1,41.0,1.9,19.0,307,3,6.14,102.33,153,10,3.06,15.3
64836,17,1,36,1,42,0,34,3,73,3,45,2,31,0,31,0,48,1,56,2,1.7,17.0,3.6,36.0,4.2,42.0,3.4,11.33,7.3,24.33,4.5,22.5,3.1,31.0,3.1,31.0,4.8,48.0,5.6,28.0,202,8,4.04,25.25,211,5,4.22,42.2
64837,41,0,41,0,62,1,59,3,89,1,38,1,33,0,39,1,49,0,65,5,4.1,41.0,4.1,41.0,6.2,62.0,5.9,19.67,8.9,89.0,3.8,38.0,3.3,33.0,3.9,39.0,4.9,49.0,6.5,13.0,292,5,5.84,58.4,224,7,4.48,32.0
64838,29,1,50,0,42,1,45,2,104,2,34,0,54,0,47,2,49,0,64,4,2.9,29.0,5.0,50.0,4.2,42.0,4.5,22.5,10.4,52.0,3.4,34.0,5.4,54.0,4.7,23.5,4.9,49.0,6.4,16.0,270,6,5.4,45.0,248,6,4.96,41.33
64839,27,1,40,1,59,1,45,1,81,3,31,1,55,0,38,4,33,3,41,1,2.7,27.0,4.0,40.0,5.9,59.0,4.5,45.0,8.1,27.0,3.1,31.0,5.5,55.0,3.8,9.5,3.3,11.0,4.1,41.0,252,7,5.04,36.0,198,9,3.96,22.0
64840,30,0,32,1,55,2,41,2,69,3,60,1,42,1,41,2,37,0,24,2,3.0,30.0,3.2,32.0,5.5,27.5,4.1,20.5,6.9,23.0,6.0,60.0,4.2,42.0,4.1,20.5,3.7,37.0,2.4,12.0,227,8,4.54,28.38,204,6,4.08,34.0
64841,19,2,38,1,43,1,27,4,22,2,49,1,44,1,32,1,22,1,0,0,1.9,9.5,3.8,38.0,4.3,43.0,2.7,6.75,2.2,11.0,4.9,49.0,4.4,44.0,3.2,32.0,2.2,22.0,0.0,0.0,149,10,2.98,14.9,147,4,2.94,36.75
64842,31,3,27,0,41,2,39,1,43,4,39,0,32,1,38,0,40,2,21,0,3.1,10.33,2.7,27.0,4.1,20.5,3.9,39.0,4.3,10.75,3.9,39.0,3.2,32.0,3.8,38.0,4.0,20.0,2.1,21.0,181,10,3.62,18.1,170,3,3.4,56.67
64843,31,1,21,6,17,0,29,2,16,1,50,2,52,1,34,0,0,0,0,0,3.1,31.0,2.1,3.5,1.7,17.0,2.9,14.5,1.6,16.0,5.0,25.0,5.2,52.0,3.4,34.0,0.0,0.0,0.0,0.0,114,10,2.28,11.4,136,3,2.72,45.33
64844,7,4,22,0,28,1,20,3,43,1,24,2,48,1,55,0,0,0,0,0,0.7,1.75,2.2,22.0,2.8,28.0,2.0,6.67,4.3,43.0,2.4,12.0,4.8,48.0,5.5,55.0,0.0,0.0,0.0,0.0,120,9,2.4,13.33,127,3,2.54,42.33
64845,19,1,25,1,40,3,32,1,51,4,29,1,46,1,39,1,64,0,0,0,1.9,19.0,2.5,25.0,4.0,13.33,3.2,32.0,5.1,12.75,2.9,29.0,4.6,46.0,3.9,39.0,6.4,64.0,0.0,0.0,167,10,3.34,16.7,178,3,3.56,59.33
64846,17,3,18,2,14,2,19,2,16,1,50,0,32,0,0,0,0,0,0,0,1.7,5.67,1.8,9.0,1.4,7.0,1.9,9.5,1.6,16.0,5.0,50.0,3.2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,84,10,1.68,8.4,82,0,1.64,82.0
64848,22,2,16,1,30,2,26,4,15,1,16,2,44,2,61,0,0,0,0,0,2.2,11.0,1.6,16.0,3.0,15.0,2.6,6.5,1.5,15.0,1.6,8.0,4.4,22.0,6.1,61.0,0.0,0.0,0.0,0.0,109,10,2.18,10.9,121,4,2.42,30.25
64849,21,1,48,2,30,1,48,1,64,0,32,2,45,0,28,1,50,4,38,3,2.1,21.0,4.8,24.0,3.0,30.0,4.8,48.0,6.4,64.0,3.2,16.0,4.5,45.0,2.8,28.0,5.0,12.5,3.8,12.67,211,5,4.22,42.2,193,10,3.86,19.3
64850,43,1,45,1,40,0,32,2,110,1,45,1,49,1,47,1,57,2,82,2,4.3,43.0,4.5,45.0,4.0,40.0,3.2,16.0,11.0,110.0,4.5,45.0,4.9,49.0,4.7,47.0,5.7,28.5,8.2,41.0,270,5,5.4,54.0,280,7,5.6,40.0
64851,43,0,53,1,40,1,63,0,43,1,26,5,29,1,66,0,11,1,0,0,4.3,43.0,5.3,53.0,4.0,40.0,6.3,63.0,4.3,43.0,2.6,5.2,2.9,29.0,6.6,66.0,1.1,11.0,0.0,0.0,242,3,4.84,80.67,132,7,2.64,18.86
64852,30,1,50,1,22,3,34,1,35,4,42,1,91,0,45,1,0,0,0,0,3.0,30.0,5.0,50.0,2.2,7.33,3.4,34.0,3.5,8.75,4.2,42.0,9.1,91.0,4.5,45.0,0.0,0.0,0.0,0.0,171,10,3.42,17.1,178,2,3.56,89.0
64853,33,0,48,0,56,2,33,2,102,2,17,1,37,2,49,1,29,6,0,0,3.3,33.0,4.8,48.0,5.6,28.0,3.3,16.5,10.2,51.0,1.7,17.0,3.7,18.5,4.9,49.0,2.9,4.83,0.0,0.0,272,6,5.44,45.33,132,10,2.64,13.2
64855,22,2,22,2,36,1,50,2,33,3,58,0,40,0,41,1,20,2,11,0,2.2,11.0,2.2,11.0,3.6,36.0,5.0,25.0,3.3,11.0,5.8,58.0,4.0,40.0,4.1,41.0,2.0,10.0,1.1,11.0,163,10,3.26,16.3,170,3,3.4,56.67
64857,40,1,21,2,23,2,35,1,92,1,21,1,43,1,29,1,29,3,70,0,4.0,40.0,2.1,10.5,2.3,11.5,3.5,35.0,9.2,92.0,2.1,21.0,4.3,43.0,2.9,29.0,2.9,9.67,7.0,70.0,211,7,4.22,30.14,192,6,3.84,32.0
64862,38,1,33,1,36,2,56,0,92,0,15,2,31,5,2,3,0,0,0,0,3.8,38.0,3.3,33.0,3.6,18.0,5.6,56.0,9.2,92.0,1.5,7.5,3.1,6.2,0.2,0.67,0.0,0.0,0.0,0.0,255,4,5.1,63.75,48,10,0.96,4.8
64864,17,1,40,1,29,1,51,5,0,0,13,1,0,0,0,0,0,0,0,0,1.7,17.0,4.0,40.0,2.9,29.0,5.1,10.2,0.0,0.0,1.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137,8,2.74,17.12,13,1,0.26,13.0
64865,44,0,54,2,38,1,51,1,79,0,70,1,46,1,63,0,63,1,46,0,4.4,44.0,5.4,27.0,3.8,38.0,5.1,51.0,7.9,79.0,7.0,70.0,4.6,46.0,6.3,63.0,6.3,63.0,4.6,46.0,266,4,5.32,66.5,288,3,5.76,96.0
64870,46,0,59,1,34,1,47,1,65,3,31,3,46,0,41,0,28,3,12,4,4.6,46.0,5.9,59.0,3.4,34.0,4.7,47.0,6.5,21.67,3.1,10.33,4.6,46.0,4.1,41.0,2.8,9.33,1.2,3.0,251,6,5.02,41.83,158,10,3.16,15.8
64871,40,0,56,0,29,2,50,1,38,7,45,1,39,0,49,0,44,2,50,2,4.0,40.0,5.6,56.0,2.9,14.5,5.0,50.0,3.8,5.43,4.5,45.0,3.9,39.0,4.9,49.0,4.4,22.0,5.0,25.0,213,10,4.26,21.3,227,5,4.54,45.4
64872,36,1,37,1,36,2,70,1,68,2,42,0,43,1,52,1,57,0,64,2,3.6,36.0,3.7,37.0,3.6,18.0,7.0,70.0,6.8,34.0,4.2,42.0,4.3,43.0,5.2,52.0,5.7,57.0,6.4,32.0,247,7,4.94,35.29,258,4,5.16,64.5
64874,44,2,50,1,41,1,46,1,31,5,33,1,59,1,41,0,39,4,17,4,4.4,22.0,5.0,50.0,4.1,41.0,4.6,46.0,3.1,6.2,3.3,33.0,5.9,59.0,4.1,41.0,3.9,9.75,1.7,4.25,212,10,4.24,21.2,189,10,3.78,18.9
64881,35,0,35,0,35,2,47,2,15,6,53,0,41,0,28,6,35,1,13,0,3.5,35.0,3.5,35.0,3.5,17.5,4.7,23.5,1.5,2.5,5.3,53.0,4.1,41.0,2.8,4.67,3.5,35.0,1.3,13.0,167,10,3.34,16.7,170,7,3.4,24.29
64882,71,0,61,1,47,1,51,3,78,1,57,1,42,1,55,1,67,1,59,6,7.1,71.0,6.1,61.0,4.7,47.0,5.1,17.0,7.8,78.0,5.7,57.0,4.2,42.0,5.5,55.0,6.7,67.0,5.9,9.83,308,6,6.16,51.33,280,10,5.6,28.0
64883,28,3,44,0,32,1,37,3,70,2,36,2,57,2,44,0,45,2,47,0,2.8,9.33,4.4,44.0,3.2,32.0,3.7,12.33,7.0,35.0,3.6,18.0,5.7,28.5,4.4,44.0,4.5,22.5,4.7,47.0,211,9,4.22,23.44,229,6,4.58,38.17
64884,39,2,38,0,45,1,61,1,80,5,58,3,57,1,56,1,55,0,31,0,3.9,19.5,3.8,38.0,4.5,45.0,6.1,61.0,8.0,16.0,5.8,19.33,5.7,57.0,5.6,56.0,5.5,55.0,3.1,31.0,263,9,5.26,29.22,257,5,5.14,51.4
64885,46,1,54,1,55,0,48,2,74,3,42,3,39,1,32,2,69,0,57,4,4.6,46.0,5.4,54.0,5.5,55.0,4.8,24.0,7.4,24.67,4.2,14.0,3.9,39.0,3.2,16.0,6.9,69.0,5.7,14.25,277,7,5.54,39.57,239,10,4.78,23.9
64887,25,2,25,1,36,2,46,0,66,1,43,3,55,1,38,0,0,0,0,0,2.5,12.5,2.5,25.0,3.6,18.0,4.6,46.0,6.6,66.0,4.3,14.33,5.5,55.0,3.8,38.0,0.0,0.0,0.0,0.0,198,6,3.96,33.0,136,4,2.72,34.0
64889,24,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,24.0,1.8,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,2,0.84,21.0,0,0,0.0,0.0
64891,31,0,42,1,36,2,40,2,58,4,30,2,32,1,32,1,38,3,12,3,3.1,31.0,4.2,42.0,3.6,18.0,4.0,20.0,5.8,14.5,3.0,15.0,3.2,32.0,3.2,32.0,3.8,12.67,1.2,4.0,207,9,4.14,23.0,144,10,2.88,14.4
64894,51,0,45,1,54,1,48,1,67,5,63,1,65,2,39,0,61,3,37,0,5.1,51.0,4.5,45.0,5.4,54.0,4.8,48.0,6.7,13.4,6.3,63.0,6.5,32.5,3.9,39.0,6.1,20.33,3.7,37.0,265,8,5.3,33.12,265,6,5.3,44.17
64896,28,3,14,2,13,1,23,2,40,0,30,1,27,1,18,2,38,2,20,3,2.8,9.33,1.4,7.0,1.3,13.0,2.3,11.5,4.0,40.0,3.0,30.0,2.7,27.0,1.8,9.0,3.8,19.0,2.0,6.67,118,8,2.36,14.75,133,9,2.66,14.78
64897,43,1,42,2,35,4,0,0,0,0,28,4,44,2,23,2,0,0,0,0,4.3,43.0,4.2,21.0,3.5,8.75,0.0,0.0,0.0,0.0,2.8,7.0,4.4,22.0,2.3,11.5,0.0,0.0,0.0,0.0,120,7,2.4,17.14,95,8,1.9,11.88
64898,28,2,57,3,22,2,0,0,0,0,47,1,42,1,21,1,0,0,0,0,2.8,14.0,5.7,19.0,2.2,11.0,0.0,0.0,0.0,0.0,4.7,47.0,4.2,42.0,2.1,21.0,0.0,0.0,0.0,0.0,107,7,2.14,15.29,110,3,2.2,36.67
64899,18,1,30,1,38,1,49,1,57,5,51,1,51,1,60,0,34,1,0,0,1.8,18.0,3.0,30.0,3.8,38.0,4.9,49.0,5.7,11.4,5.1,51.0,5.1,51.0,6.0,60.0,3.4,34.0,0.0,0.0,192,9,3.84,21.33,196,3,3.92,65.33
64900,45,2,52,0,70,0,55,3,81,3,28,0,26,1,50,1,52,4,5,3,4.5,22.5,5.2,52.0,7.0,70.0,5.5,18.33,8.1,27.0,2.8,28.0,2.6,26.0,5.0,50.0,5.2,13.0,0.5,1.67,303,8,6.06,37.88,161,9,3.22,17.89
64901,21,3,35,3,41,0,48,0,37,4,68,1,47,1,68,0,4,0,0,0,2.1,7.0,3.5,11.67,4.1,41.0,4.8,48.0,3.7,9.25,6.8,68.0,4.7,47.0,6.8,68.0,0.4,4.0,0.0,0.0,182,10,3.64,18.2,187,2,3.74,93.5
64905,52,1,41,1,29,3,33,0,59,2,35,1,42,1,54,0,51,1,46,0,5.2,52.0,4.1,41.0,2.9,9.67,3.3,33.0,5.9,29.5,3.5,35.0,4.2,42.0,5.4,54.0,5.1,51.0,4.6,46.0,214,7,4.28,30.57,228,3,4.56,76.0
64906,48,1,48,0,51,2,55,0,79,5,34,1,50,1,54,0,56,1,55,7,4.8,48.0,4.8,48.0,5.1,25.5,5.5,55.0,7.9,15.8,3.4,34.0,5.0,50.0,5.4,54.0,5.6,56.0,5.5,7.86,281,8,5.62,35.12,249,10,4.98,24.9
64907,43,2,31,2,35,1,34,1,63,4,23,4,22,2,30,3,2,1,0,0,4.3,21.5,3.1,15.5,3.5,35.0,3.4,34.0,6.3,15.75,2.3,5.75,2.2,11.0,3.0,10.0,0.2,2.0,0.0,0.0,206,10,4.12,20.6,77,10,1.54,7.7
64910,35,1,16,2,26,2,60,0,32,5,24,1,53,0,43,1,33,1,28,2,3.5,35.0,1.6,8.0,2.6,13.0,6.0,60.0,3.2,6.4,2.4,24.0,5.3,53.0,4.3,43.0,3.3,33.0,2.8,14.0,169,10,3.38,16.9,181,5,3.62,36.2
64911,29,1,37,1,31,2,48,1,99,1,30,1,36,4,17,4,2,1,0,0,2.9,29.0,3.7,37.0,3.1,15.5,4.8,48.0,9.9,99.0,3.0,30.0,3.6,9.0,1.7,4.25,0.2,2.0,0.0,0.0,244,6,4.88,40.67,85,10,1.7,8.5
64913,26,0,56,2,30,3,56,0,89,1,20,3,25,1,50,0,36,3,38,3,2.6,26.0,5.6,28.0,3.0,10.0,5.6,56.0,8.9,89.0,2.0,6.67,2.5,25.0,5.0,50.0,3.6,12.0,3.8,12.67,257,6,5.14,42.83,169,10,3.38,16.9
64914,32,2,38,1,34,0,56,0,67,5,17,1,33,2,42,1,39,1,77,3,3.2,16.0,3.8,38.0,3.4,34.0,5.6,56.0,6.7,13.4,1.7,17.0,3.3,16.5,4.2,42.0,3.9,39.0,7.7,25.67,227,8,4.54,28.38,208,8,4.16,26.0
64917,55,0,74,2,41,0,52,1,115,2,33,2,50,1,44,2,31,2,68,2,5.5,55.0,7.4,37.0,4.1,41.0,5.2,52.0,11.5,57.5,3.3,16.5,5.0,50.0,4.4,22.0,3.1,15.5,6.8,34.0,337,5,6.74,67.4,226,9,4.52,25.11
64919,46,1,27,0,35,3,31,0,81,1,35,1,45,1,43,2,32,2,41,4,4.6,46.0,2.7,27.0,3.5,11.67,3.1,31.0,8.1,81.0,3.5,35.0,4.5,45.0,4.3,21.5,3.2,16.0,4.1,10.25,220,5,4.4,44.0,196,10,3.92,19.6
64922,11,3,31,2,33,1,22,1,59,2,44,2,16,1,40,0,0,0,0,0,1.1,3.67,3.1,15.5,3.3,33.0,2.2,22.0,5.9,29.5,4.4,22.0,1.6,16.0,4.0,40.0,0.0,0.0,0.0,0.0,156,9,3.12,17.33,100,3,2.0,33.33
64923,43,2,35,0,40,0,27,1,47,7,81,1,55,0,42,1,18,0,0,0,4.3,21.5,3.5,35.0,4.0,40.0,2.7,27.0,4.7,6.71,8.1,81.0,5.5,55.0,4.2,42.0,1.8,18.0,0.0,0.0,192,10,3.84,19.2,196,2,3.92,98.0
64924,51,0,25,3,46,0,61,1,77,1,28,0,45,2,48,0,54,1,75,5,5.1,51.0,2.5,8.33,4.6,46.0,6.1,61.0,7.7,77.0,2.8,28.0,4.5,22.5,4.8,48.0,5.4,54.0,7.5,15.0,260,5,5.2,52.0,250,8,5.0,31.25
64925,47,1,47,1,44,0,62,2,53,4,42,1,43,2,62,0,51,1,59,3,4.7,47.0,4.7,47.0,4.4,44.0,6.2,31.0,5.3,13.25,4.2,42.0,4.3,21.5,6.2,62.0,5.1,51.0,5.9,19.67,253,8,5.06,31.62,257,7,5.14,36.71
64926,44,2,30,0,47,0,52,1,94,2,37,3,52,2,33,1,46,3,3,1,4.4,22.0,3.0,30.0,4.7,47.0,5.2,52.0,9.4,47.0,3.7,12.33,5.2,26.0,3.3,33.0,4.6,15.33,0.3,3.0,267,5,5.34,53.4,171,10,3.42,17.1
64927,66,1,40,1,44,1,44,1,106,3,32,1,44,1,49,1,79,1,86,4,6.6,66.0,4.0,40.0,4.4,44.0,4.4,44.0,10.6,35.33,3.2,32.0,4.4,44.0,4.9,49.0,7.9,79.0,8.6,21.5,300,7,6.0,42.86,290,8,5.8,36.25
64928,23,2,53,1,32,1,52,1,37,5,5,2,0,0,0,0,0,0,0,0,2.3,11.5,5.3,53.0,3.2,32.0,5.2,52.0,3.7,7.4,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197,10,3.94,19.7,5,2,0.1,2.5
64929,24,2,23,2,30,2,54,0,99,4,39,0,34,1,51,2,45,1,54,3,2.4,12.0,2.3,11.5,3.0,15.0,5.4,54.0,9.9,24.75,3.9,39.0,3.4,34.0,5.1,25.5,4.5,45.0,5.4,18.0,230,10,4.6,23.0,223,7,4.46,31.86
64932,48,0,49,1,43,1,52,1,101,4,37,3,27,3,33,1,19,3,0,0,4.8,48.0,4.9,49.0,4.3,43.0,5.2,52.0,10.1,25.25,3.7,12.33,2.7,9.0,3.3,33.0,1.9,6.33,0.0,0.0,293,7,5.86,41.86,116,10,2.32,11.6
64933,54,0,41,3,24,2,49,0,77,0,23,2,35,1,51,1,41,4,12,2,5.4,54.0,4.1,13.67,2.4,12.0,4.9,49.0,7.7,77.0,2.3,11.5,3.5,35.0,5.1,51.0,4.1,10.25,1.2,6.0,245,5,4.9,49.0,162,10,3.24,16.2
64934,41,1,26,2,60,0,73,1,105,2,36,0,31,1,36,2,45,2,36,2,4.1,41.0,2.6,13.0,6.0,60.0,7.3,73.0,10.5,52.5,3.6,36.0,3.1,31.0,3.6,18.0,4.5,22.5,3.6,18.0,305,6,6.1,50.83,184,7,3.68,26.29
64935,42,0,36,2,42,1,38,2,53,5,67,1,64,1,69,1,20,0,0,0,4.2,42.0,3.6,18.0,4.2,42.0,3.8,19.0,5.3,10.6,6.7,67.0,6.4,64.0,6.9,69.0,2.0,20.0,0.0,0.0,211,10,4.22,21.1,220,3,4.4,73.33
64936,25,4,27,1,24,0,33,1,74,2,35,2,30,1,37,1,38,1,54,0,2.5,6.25,2.7,27.0,2.4,24.0,3.3,33.0,7.4,37.0,3.5,17.5,3.0,30.0,3.7,37.0,3.8,38.0,5.4,54.0,183,8,3.66,22.88,194,5,3.88,38.8
64939,84,1,56,2,64,0,68,0,73,6,68,1,56,2,56,1,70,3,27,3,8.4,84.0,5.6,28.0,6.4,64.0,6.8,68.0,7.3,12.17,6.8,68.0,5.6,28.0,5.6,56.0,7.0,23.33,2.7,9.0,345,9,6.9,38.33,277,10,5.54,27.7
64941,58,0,44,1,64,0,50,1,60,4,71,1,47,1,61,1,65,2,49,2,5.8,58.0,4.4,44.0,6.4,64.0,5.0,50.0,6.0,15.0,7.1,71.0,4.7,47.0,6.1,61.0,6.5,32.5,4.9,24.5,276,6,5.52,46.0,293,7,5.86,41.86
64942,30,3,28,1,39,0,62,0,74,2,88,0,49,2,39,0,54,2,6,1,3.0,10.0,2.8,28.0,3.9,39.0,6.2,62.0,7.4,37.0,8.8,88.0,4.9,24.5,3.9,39.0,5.4,27.0,0.6,6.0,233,6,4.66,38.83,236,5,4.72,47.2
64943,69,2,51,0,43,1,46,1,82,4,45,2,37,2,32,3,20,3,0,0,6.9,34.5,5.1,51.0,4.3,43.0,4.6,46.0,8.2,20.5,4.5,22.5,3.7,18.5,3.2,10.67,2.0,6.67,0.0,0.0,291,8,5.82,36.38,134,10,2.68,13.4
65029,56,2,40,2,32,0,26,4,33,1,37,0,29,1,42,0,40,4,45,3,5.6,28.0,4.0,20.0,3.2,32.0,2.6,6.5,3.3,33.0,3.7,37.0,2.9,29.0,4.2,42.0,4.0,10.0,4.5,15.0,187,9,3.74,20.78,193,8,3.86,24.12
65030,34,2,24,2,37,2,49,1,25,3,77,0,63,3,22,0,0,0,0,0,3.4,17.0,2.4,12.0,3.7,18.5,4.9,49.0,2.5,8.33,7.7,77.0,6.3,21.0,2.2,22.0,0.0,0.0,0.0,0.0,169,10,3.38,16.9,162,3,3.24,54.0
65031,21,1,33,3,32,0,36,1,85,2,46,1,36,1,45,1,25,3,52,0,2.1,21.0,3.3,11.0,3.2,32.0,3.6,36.0,8.5,42.5,4.6,46.0,3.6,36.0,4.5,45.0,2.5,8.33,5.2,52.0,207,7,4.14,29.57,204,6,4.08,34.0
65032,50,1,34,4,29,0,29,2,14,3,42,0,31,2,68,1,19,0,0,0,5.0,50.0,3.4,8.5,2.9,29.0,2.9,14.5,1.4,4.67,4.2,42.0,3.1,15.5,6.8,68.0,1.9,19.0,0.0,0.0,156,10,3.12,15.6,160,3,3.2,53.33
65033,50,0,33,3,30,1,65,0,93,1,44,2,44,1,36,3,48,3,38,1,5.0,50.0,3.3,11.0,3.0,30.0,6.5,65.0,9.3,93.0,4.4,22.0,4.4,44.0,3.6,12.0,4.8,16.0,3.8,38.0,271,5,5.42,54.2,210,10,4.2,21.0
